Time,WC,WT,WL,AH,AT,HS
Sun May 15 12:31:08 2022,34.206322346395716,23.625,5752,65.59750549062181,21.7169921875,1
Sun May 15 12:31:40 2022,35.08086874183214,23.8125,5721,68.67535649986156,21.762890625,1
Sun May 15 12:32:12 2022,35.86323383835869,23.9375,5757,74.87647580728394,21.78828125,1
Sun May 15 12:32:44 2022,36.22073913609325,24.125,5757,75.12884748893842,21.854296875,1
Sun May 15 12:33:16 2022,34.84494332113577,24.25,5717,70.93218939619051,21.88984375,1
Sun May 15 12:33:48 2022,36.22169278096022,24.4375,5740,72.94953351556104,21.935546875,1
Sun May 15 12:34:20 2022,36.016309297360486,24.625,5731,76.38155592985366,21.9609375,1
Sun May 15 12:34:53 2022,35.865790274912634,24.625,5712,72.2247704053043,21.93046875,1
Sun May 15 12:35:25 2022,36.22294213940567,24.875,5711,76.70480709986073,21.9609375,1
Sun May 15 12:35:57 2022,36.5050102358574,25.0625,5627,76.16316346871342,22.0373046875,1
Sun May 15 12:36:29 2022,36.52614486262801,25.1875,5631,73.45579249042774,22.0779296875,1
Sun May 15 12:37:01 2022,37.15187813320191,25.375,5580,77.57445990332923,22.1033203125,1
Sun May 15 12:37:33 2022,37.674664813263746,25.5,5509,76.31726952504063,22.1388671875,1
Sun May 15 12:38:05 2022,36.16916616339659,25.625,5417,74.22762220029823,22.1896484375,0
Sun May 15 12:38:37 2022,34.94395153113063,25.75,5375,80.98477474921643,22.31171875,0
Sun May 15 12:39:09 2022,35.19936932076748,25.875,5589,74.95964040889486,22.33203125,0
Sun May 15 12:39:41 2022,34.78939812950799,25.9375,5277,77.26639766086639,22.306640625,0
Sun May 15 12:40:13 2022,37.234084933322016,25.9375,4568,85.49392588938322,22.3828125,0
Sun May 15 12:40:45 2022,32.48983205635793,25.875,4206,68.97738582068396,22.31171875,0
Sun May 15 12:41:17 2022,31.88961220375725,23.8125,5126,75.7254600866671,22.2556640625,1
Sun May 15 12:41:49 2022,31.457792898324243,23.0625,5365,70.39328634551948,22.1693359375,1
Sun May 15 12:42:21 2022,31.71820985279757,22.5625,5259,72.40193507720261,22.0728515625,1
Sun May 15 12:42:53 2022,31.561988749766037,22.6875,5233,67.5097646468765,22.01171875,1
Sun May 15 12:43:25 2022,31.857475430643074,22.8125,5163,67.62072131199712,21.986328125,1
Sun May 15 12:43:57 2022,32.07731292901682,23.0,5103,67.6553250576568,21.93046875,1
Sun May 15 12:44:29 2022,33.35190892646572,23.125,5249,68.05053609363034,22.0525390625,1
Sun May 15 12:45:01 2022,29.86410200966595,23.3125,5168,67.96410794053791,22.0474609375,1
Sun May 15 12:45:33 2022,28.477477990917723,23.5,5186,68.52361651319062,22.0474609375,1
Sun May 15 12:46:05 2022,30.431966098205688,23.6875,5274,68.59822769703456,22.0271484375,1
Sun May 15 12:46:37 2022,28.78555601884593,23.875,5251,66.91279212855895,22.0220703125,1
Sun May 15 12:47:09 2022,29.420281157431766,24.0625,5050,73.89587900531004,21.986328125,1
Sun May 15 12:47:41 2022,30.282372471456974,24.25,5078,67.79117404335325,21.9609375,1
Sun May 15 12:48:13 2022,30.84773159839337,24.375,5051,67.36952770113984,21.9203125,1
Sun May 15 12:48:45 2022,31.809811777995396,24.5625,5100,81.13801194303262,21.9609375,1
Sun May 15 12:49:17 2022,33.30405438762443,24.75,5125,78.82856955293511,22.0220703125,1
Sun May 15 12:49:49 2022,33.463364460106845,24.875,5123,71.54743398781167,22.0779296875,1
Sun May 15 12:50:21 2022,34.075046412642166,25.0625,5155,79.37724615264763,22.1033203125,1
Sun May 15 12:50:53 2022,34.17473061713926,25.25,5126,83.25023421097082,22.1845703125,1
